tag,n,trolls,p,lam,regimen,loc,fracTrolls,mean_rho_W,mean_rho_LW,mean_rangoFinal,mean_stdFinal,mean_convTime,mean_P_norm_vs_trolls,mean_propNegNormals,mean_medianFinalNormals,mean_resid_fp,mean_medianFinal,mean_meanFinal,std_convTime,std_rangoFinal,std_stdFinal,prop_stochastic,prop_substochastic,prop_isStrongLW,mean_nSCC_W,mean_nSCC_LW,mean_periodW,mean_periodLW,prop_isStrongW,prop_isPrimLW,mean_nSCC_W_over_n,mean_nSCC_LW_over_n,mean_rho_emp_W,mean_NDI,mean_P2,mean_P4,prop_consenso,mean_k_needed
n300_trolls30_desconectada_bajoPR_lam0.65,300,30,0.009506304124427,0.65,desconectada,bajoPR,0.1,,0.638345641440141,1.76201777059114,0.467659800858526,25,0.769562300752223,0.0112592592592593,0.501500173958388,7.89369229877712e-07,0.484579444660819,0.333125351696021,0.534522483824849,0.0288218336422323,0.00423721465461252,1,1,0,20.74,48.56,NaN,NaN,0,0,0.0691333333333333,0.161866666666667,1,81.6959492480513,0.329070844284733,160.963862844575,0,31.04
n300_trolls30_desconectada_medioPR_lam0.65,300,30,0.009506304124427,0.65,desconectada,medioPR,0.1,,0.604760111394796,1.71462173397334,0.449804383601171,25.3,0.720527104066432,0.0626666666666667,0.382547194888415,8.35266496560516e-07,0.358059574537931,0.210317614570001,0.614451804788759,0.0359031740661725,0.00562368242129024,1,1,0,20.74,63.44,NaN,NaN,0,0,0.0691333333333333,0.211466666666667,1,86.8552426499616,0.246069242692182,129.457920896368,0,28.36
n300_trolls30_desconectada_altoPR_lam0.65,300,30,0.009506304124427,0.65,desconectada,altoPR,0.1,,0.525448614714247,1.62344152759702,0.422428957615577,22.1,0.681856591571744,0.185925925925926,0.225964389994268,7.33827562899303e-07,0.196410885289728,0.0644421042608037,0.543983793275993,0.0443026152602767,0.0076831836487367,1,1,0,20.74,80.18,NaN,NaN,0,0,0.0691333333333333,0.267266666666667,1,78.8034024625869,0.182493115516477,100.821009349207,0,22.3
n300_trolls30_desconectada_bajoPR_lam0.80,300,30,0.009506304124427,0.8,desconectada,bajoPR,0.1,,0.785656174080174,1.65265638181327,0.45118722320695,49.06,0.769562300752223,0.0248148148148148,0.455462813026392,8.64546380748843e-07,0.442744936120204,0.279226251216938,0.766918030369688,0.0304191114105048,0.00695571285737505,1,1,0,20.74,48.56,NaN,NaN,0,0,0.0691333333333333,0.161866666666667,1,73.2876413983311,0.281195061077723,146.183304674112,0,58.18
n300_trolls30_desconectada_medioPR_lam0.80,300,30,0.009506304124427,0.8,desconectada,medioPR,0.1,,0.744320137101288,1.54429752108758,0.409847655560368,45.1,0.720527104066432,0.174296296296296,0.228925857130492,8.70028326110939e-07,0.202613578464422,0.0601433892590708,1.66904592079256,0.0456778692835653,0.00922714583723905,1,1,0,20.74,63.44,NaN,NaN,0,0,0.0691333333333333,0.211466666666667,1,66.2536529665064,0.171502553944532,96.0893936172938,0,48.76
n300_trolls30_desconectada_altoPR_lam0.80,300,30,0.009506304124427,0.8,desconectada,altoPR,0.1,,0.646705987340612,1.34257423456557,0.351571885665621,33.56,0.681856591571744,0.579555555555556,-0.0402736245305639,8.18758575286682e-07,-0.0689678759481168,-0.173821370131449,1.45910232397757,0.0521923466482603,0.0103828397498414,1,1,0,20.74,80.18,NaN,NaN,0,0,0.0691333333333333,0.267266666666667,1,47.7599005705002,0.154263373897986,78.4539978797402,0,33.26
n300_trolls60_desconectada_bajoPR_lam0.20,300,60,0.009506304124427,0.2,desconectada,bajoPR,0.2,,0.192779992824152,1.92874765885957,0.640977563796808,7.02,0.718295484671761,0.00258333333333333,0.522012488670482,4.02674871429476e-07,0.474641891224788,0.223173598107362,0.141421356237309,0.0177387341679537,0.00288329273563488,1,1,0,20.74,74.9,NaN,NaN,0,0,0.0691333333333333,0.249666666666667,1,175.217201766819,0.4593229352741,187.018022234556,0,8
n300_trolls60_desconectada_medioPR_lam0.20,300,60,0.009506304124427,0.2,desconectada,medioPR,0.2,,0.173137393023706,1.9156681819279,0.625877979522771,7.06,0.583718202309989,0.0133333333333333,0.48970377119744,6.0806253847745e-07,0.421424784928784,0.186368083337593,0.239897937482095,0.0222616322495438,0.00323611500597371,1,1,0,20.74,108.9,NaN,NaN,0,0,0.0691333333333333,0.363,1,209.959157088733,0.425196793634316,176.251797917976,0,8.02
n300_trolls60_desconectada_altoPR_lam0.20,300,60,0.009506304124427,0.2,desconectada,altoPR,0.2,,0.12971656899815,1.89832133844825,0.612941921189441,7,0.498497030394781,0.03,0.453374283675147,3.76080392432421e-07,0.378739210183941,0.155025382178575,0,0.0252880432029391,0.00392426371762964,1,1,0,20.74,144.36,NaN,NaN,0,0,0.0691333333333333,0.4812,1,216.50388557603,0.398546062507578,167.535924383557,0,7
n300_trolls60_desconectada_bajoPR_lam0.35,300,60,0.009506304124427,0.35,desconectada,bajoPR,0.2,,0.337364987442265,1.88157575990392,0.62620976406479,10.28,0.718295484671761,0.00708333333333333,0.511791269128441,7.43478183364288e-07,0.458494212449669,0.203776204410546,0.453557367611073,0.0249651580709888,0.00354168717047847,1,1,0,20.74,74.9,NaN,NaN,0,0,0.0691333333333333,0.249666666666667,1,160.885890938365,0.432407949525922,181.408749319594,0,12.8
n300_trolls60_desconectada_medioPR_lam0.35,300,60,0.009506304124427,0.35,desconectada,medioPR,0.2,,0.302990437791485,1.85521725417817,0.598965959470845,11.02,0.583718202309989,0.03875,0.435003024056076,4.68453848623263e-07,0.359192151348187,0.131936382214203,0.141421356237309,0.0265381055416227,0.00419009590606534,1,1,0,20.74,108.9,NaN,NaN,0,0,0.0691333333333333,0.363,1,181.184868073399,0.375046682984113,161.313457004593,0,11.84
