tag,replica,regimen,loc,fracTrolls,lambda,rango_final,std_final,median_final,mean_final,prop_neg,median_norm,resid,t_conv,rho_lambdaW,nSCC
n300_trolls0_desconectada_bajo_pr_lam0.85,45,desconectada,bajo_pr,0,0.85,0.2563302239577,0.0479957872008095,0.552801528322693,0.546471768235208,0,0.552801528322693,9.24289671022649e-07,29,0.850000000000008,18
n300_trolls0_desconectada_bajo_pr_lam0.85,46,desconectada,bajo_pr,0,0.85,0.259761974608495,0.0483297827067394,0.538415433373357,0.534950942334866,0,0.538415433373357,7.69848292225817e-07,25,0.850000000000005,10
n300_trolls0_desconectada_bajo_pr_lam0.85,47,desconectada,bajo_pr,0,0.85,0.24791096183498,0.0482668896588092,0.562315981108044,0.560261148395322,0,0.562315981108044,9.48485271490274e-07,22,0.850000000000004,13
n300_trolls0_desconectada_bajo_pr_lam0.85,48,desconectada,bajo_pr,0,0.85,0.246547527405526,0.0491884388153166,0.551813342957483,0.54960613260627,0,0.551813342957483,7.66013965258772e-07,28,0.850000000000005,18
n300_trolls0_desconectada_bajo_pr_lam0.85,49,desconectada,bajo_pr,0,0.85,0.320431507576224,0.0548851544108161,0.537186242839075,0.531806887762704,0,0.537186242839075,9.58136051554259e-07,26,0.850000000000005,31
n300_trolls0_desconectada_bajo_pr_lam0.85,50,desconectada,bajo_pr,0,0.85,0.262849432213565,0.0527482387756273,0.540068835178459,0.53901520414121,0,0.540068835178459,6.46385614810896e-07,28,0.85,17
n300_trolls0_desconectada_medio_pr_lam0.85,1,desconectada,medio_pr,0,0.85,0.354931623551633,0.0524528602260592,0.546025967743514,0.548554713474549,0,0.546025967743514,8.7266468618008e-07,77,0.850000000000002,23
n300_trolls0_desconectada_medio_pr_lam0.85,2,desconectada,medio_pr,0,0.85,0.267872652935361,0.0485408711621394,0.558083954672606,0.554975297232388,0,0.558083954672606,9.00507938994544e-07,26,0.850000000000001,16
n300_trolls0_desconectada_medio_pr_lam0.85,3,desconectada,medio_pr,0,0.85,0.318309057374336,0.0489914863130941,0.567494981839458,0.565177073319939,0,0.567494981839458,8.24435730462092e-07,24,0.850000000000013,17
n300_trolls0_desconectada_medio_pr_lam0.85,4,desconectada,medio_pr,0,0.85,0.252127819572038,0.054448510242688,0.538732157780477,0.53887209254669,0,0.538732157780477,6.30431444492707e-07,27,0.850000000000006,22
n300_trolls0_desconectada_medio_pr_lam0.85,5,desconectada,medio_pr,0,0.85,0.286523055547941,0.0535660443279171,0.583457171783709,0.580928093272176,0,0.583457171783709,8.2855719174546e-07,29,0.850000000000005,12
n300_trolls0_desconectada_medio_pr_lam0.85,6,desconectada,medio_pr,0,0.85,0.253412602686034,0.0502977283267544,0.551682943146963,0.549177125142026,0,0.551682943146963,9.3666556066907e-07,73,0.850000000000002,20
n300_trolls0_desconectada_medio_pr_lam0.85,7,desconectada,medio_pr,0,0.85,0.246019338666528,0.0472587867966433,0.53532825542836,0.530209645226153,0,0.53532825542836,8.73546386559454e-07,80,0.850000000000004,17
n300_trolls0_desconectada_medio_pr_lam0.85,8,desconectada,medio_pr,0,0.85,0.248652612907193,0.0465097437204455,0.541537431860795,0.536724610256651,0,0.541537431860795,8.98862143328127e-07,30,0.850000000000001,23
