tag,replica,regimen,loc,fracTrolls,lambda,rangoFinal,stdFinal,medianFinal,meanFinal,propNeg,medianNorm,NDI,P2,P4,resid,tconv
n300_trolls90_fuerte_medioPR_lam0.65,16,fuerte,medioPR,0.3,0.65,1.30122056218332,0.47198445394815,-0.0705243960019579,-0.298061832335794,0.471428571428571,0.00854929586962674,129.235462199808,0.310867616248209,111.367637733912,6.09839806486878e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,17,fuerte,medioPR,0.3,0.65,1.27638298361749,0.471772651049555,-0.0525938396869804,-0.298036529550519,0.485714285714286,0.00657383187683518,129.792045997194,0.310653309110582,110.780109388515,5.99076109553121e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,18,fuerte,medioPR,0.3,0.65,1.25971545827684,0.466336136365776,-0.0917696644605418,-0.306219027303564,0.523809523809524,-0.0113382450645853,125.176031091954,0.310514586789698,111.241963193807,5.98270058715933e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,19,fuerte,medioPR,0.3,0.65,1.29766165432479,0.475967408008723,-0.0600725440475329,-0.289988788980728,0.438095238095238,0.0207570911804358,131.561513764864,0.30988332130943,110.339095677217,6.07615986858434e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,20,fuerte,medioPR,0.3,0.65,1.24259250659537,0.470323555078405,-0.055209828861911,-0.298872412497079,0.457142857142857,0.00986111832964508,130.4311786216,0.309791617925208,110.017959618356,6.33133589694745e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,21,fuerte,medioPR,0.3,0.65,1.26651219345268,0.459720439090555,-0.0793570626641822,-0.314716596847741,0.585714285714286,-0.0210814798010102,122.628971214179,0.309684942175311,109.521562319223,5.14017983246906e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,22,fuerte,medioPR,0.3,0.65,1.28141643953091,0.465203152627981,-0.0674160655553163,-0.306216043377796,0.509523809523809,-0.00149472582709492,127.103983055542,0.309460858526248,109.286702059629,5.43395964280879e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,23,fuerte,medioPR,0.3,0.65,1.38781694067048,0.472064627953471,-0.0689007254228011,-0.294631686507452,0.442857142857143,0.00970891059615822,128.456760684829,0.308910026949191,109.128070580991,7.77994936196347e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,24,fuerte,medioPR,0.3,0.65,1.26528023156789,0.465894250206175,-0.0775829652007342,-0.304130810852595,0.533333333333333,-0.00825253716797487,128.562533645952,0.30882947764378,109.390256990597,5.45828991449504e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,25,fuerte,medioPR,0.3,0.65,1.25494866312416,0.468168035254839,-0.0628648936816223,-0.299931780586985,0.509523809523809,-0.00342637548730623,126.373601727861,0.308409777876341,108.48354897478,6.30032112716727e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,26,fuerte,medioPR,0.3,0.65,1.24003901718344,0.465556356525355,-0.0838343665374632,-0.305716541966722,0.5,-0.00111859538034559,125.83768827767,0.30948284939625,110.073475323347,6.54917259673704e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,27,fuerte,medioPR,0.3,0.65,1.32747362180345,0.473874408427007,-0.0476280845211315,-0.29415885281495,0.447619047619048,0.0108418185869522,131.104352894358,0.310337862468247,110.258084243708,6.3981798922863e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,28,fuerte,medioPR,0.3,0.65,1.27082006826423,0.469636859963119,-0.0587948921324355,-0.299109002160516,0.466666666666667,0.0123324036216614,127.715125305304,0.309289779475358,109.128425510794,6.55856748521533e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,29,fuerte,medioPR,0.3,0.65,1.29840852963538,0.476701998306278,-0.0404088741538975,-0.286574825240959,0.428571428571429,0.0213812191516069,130.289164209135,0.308612443000455,108.551059312047,7.00422259247713e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,30,fuerte,medioPR,0.3,0.65,1.25835903964303,0.470188258310289,-0.072381904319624,-0.299050527590724,0.495238095238095,0.00148524784049772,128.316157175586,0.309771292977645,110.689083115423,5.84822247594319e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,31,fuerte,medioPR,0.3,0.65,1.27095511027421,0.467421302558285,-0.0661235823974075,-0.302411146295627,0.471428571428571,0.00524535400404458,126.936166524938,0.309206899908834,109.473295544166,5.90174249648313e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,32,fuerte,medioPR,0.3,0.65,1.28251825956688,0.469866612369973,-0.0719955608938116,-0.301043640317761,0.495238095238095,0.00257985691766087,126.435646287828,0.31066599135107,111.338004623772,6.30386726596655e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,33,fuerte,medioPR,0.3,0.65,1.29975251546286,0.472213811188986,-0.0498120365824668,-0.295429276466404,0.485714285714286,0.0078931665630725,128.837013304129,0.309521054592831,109.524809400181,6.27613837789198e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,34,fuerte,medioPR,0.3,0.65,1.31715468832147,0.471398607726265,-0.0575308183368183,-0.296951508085753,0.476190476190476,0.00457847936817096,127.59325286816,0.309656123362777,109.760344878441,6.19433744963871e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,35,fuerte,medioPR,0.3,0.65,1.26194531260594,0.476901532538622,-0.0567599545706424,-0.286964371009493,0.419047619047619,0.0321455215332334,131.6383186222,0.309025505060768,110.449180614461,6.26950081877853e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,36,fuerte,medioPR,0.3,0.65,1.31255271401008,0.463181687227578,-0.0775276484225522,-0.308107022090607,0.509523809523809,-0.0012616943559315,125.095904353938,0.308752088193251,108.807445595533,5.50424632705937e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,37,fuerte,medioPR,0.3,0.65,1.23817225450894,0.469517897688204,-0.0502370579656207,-0.29759936638724,0.457142857142857,0.0120832048052585,129.882006463627,0.308277615602806,108.571014750729,5.57932411729412e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,38,fuerte,medioPR,0.3,0.65,1.28464486999824,0.468177028837958,-0.0708641430558637,-0.302267267815768,0.547619047619048,-0.00822514678489868,127.731934887994,0.309824599089909,109.664479342287,6.16552012555616e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,39,fuerte,medioPR,0.3,0.65,1.31034484653853,0.460460154291064,-0.0785094203229976,-0.310935317591929,0.538095238095238,-0.00905675162410231,128.680644717916,0.307997580236779,107.985779779319,5.20322455052624e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,40,fuerte,medioPR,0.3,0.65,1.2827036761023,0.462303382729942,-0.0777749321383425,-0.31028853083343,0.542857142857143,-0.0249524486302882,123.649966618442,0.309290975324704,109.183320953555,5.53962863747426e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,41,fuerte,medioPR,0.3,0.65,1.27417803815332,0.472149894592175,-0.058161428703741,-0.29465837075418,0.457142857142857,0.0126268288971532,129.006511274753,0.309005993342365,109.112313240567,6.38329506391644e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,42,fuerte,medioPR,0.3,0.65,1.25794033552378,0.463981331657136,-0.083706872774431,-0.30730619113873,0.485714285714286,0.00201708587595482,127.405614557628,0.308998175651435,109.865381169501,5.30918850910611e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,43,fuerte,medioPR,0.3,0.65,1.31750621921135,0.471630506450881,-0.0635520868742964,-0.297765174519825,0.504761904761905,-0.00245765768974537,128.059937908875,0.310357982656553,110.471644639878,6.36952909083277e-07,19
n300_trolls90_fuerte_medioPR_lam0.65,44,fuerte,medioPR,0.3,0.65,1.29759437706334,0.471343900568867,-0.0523867209110418,-0.297678027771939,0.480952380952381,0.00429050291814743,129.870523456596,0.310036730579654,109.826345030017,5.61966501000377e-07,19
