tag,replica,regimen,loc,fracTrolls,lambda,rangoFinal,stdFinal,medianFinal,meanFinal,propNeg,medianNorm,NDI,resid,tconv,rho_lambdaW,nSCC
n300_trolls0_desconectada_medioPR_lam0.40,5,desconectada,medioPR,0,0.4,0.755608084859078,0.158964151973381,0.551450845574329,0.553144020864995,0,0.551450845574329,11.9076511211848,3.97426139331358e-07,12,0.400000000000004,25
n300_trolls0_desconectada_medioPR_lam0.40,6,desconectada,medioPR,0,0.4,0.729481362641415,0.159137970249453,0.556265312421563,0.555236132653734,0,0.556265312421563,12.0151071807664,7.2410012103008e-07,11,0.400000000000003,35
n300_trolls0_desconectada_medioPR_lam0.40,7,desconectada,medioPR,0,0.4,0.804540948467466,0.158084111120011,0.543288206011526,0.549240488638371,0,0.543288206011526,12.7758717784017,5.49462247922961e-07,11,0.400000000000004,15
n300_trolls0_desconectada_medioPR_lam0.40,8,desconectada,medioPR,0,0.4,0.731596706024673,0.160074310599619,0.556294379029088,0.550969328583623,0,0.556294379029088,12.3749258864026,3.97801566465183e-07,12,0.400000000000002,18
n300_trolls0_desconectada_medioPR_lam0.40,9,desconectada,medioPR,0,0.4,0.653139088784608,0.153801876777005,0.539876126404597,0.547474488129803,0,0.539876126404597,12.7110958037571,2.35960695704751e-07,12,0.400000000000004,17
n300_trolls0_desconectada_medioPR_lam0.40,10,desconectada,medioPR,0,0.4,0.722617066011397,0.157447449107049,0.546472096490592,0.555451518224134,0,0.546472096490592,11.9514942946171,3.38397229682208e-07,12,0.400000000000002,29
n300_trolls0_desconectada_medioPR_lam0.40,11,desconectada,medioPR,0,0.4,0.81475038538204,0.165905405700373,0.551253650347667,0.546120419790785,0,0.551253650347667,12.1614279538822,8.45172183294718e-07,12,0.400000000000005,20
n300_trolls0_desconectada_medioPR_lam0.40,12,desconectada,medioPR,0,0.4,0.701009178845024,0.159598435898078,0.551271966229328,0.548538265850743,0,0.551271966229328,12.0966292492879,2.45312231972328e-07,12,0.400000000000006,22
n300_trolls0_desconectada_medioPR_lam0.40,13,desconectada,medioPR,0,0.4,0.761447089261521,0.16481321440796,0.552046491497574,0.560959125132123,0,0.552046491497574,11.948728451678,4.87438914675842e-07,12,0.400000000000004,23
n300_trolls0_desconectada_medioPR_lam0.40,14,desconectada,medioPR,0,0.4,0.769871172727087,0.160617964162485,0.5450565554411,0.548001638048554,0,0.5450565554411,12.0159991696558,7.036648237424e-07,12,0.400000000000003,21
